fdc_id,data_type,description,food_category_id,publication_date,sort_description,fields
169735,sr_legacy_food,"Noodles, flat, crunchy, Chinese restaurant",20,2019-04-01,"noodles, flat, crunchy, chinese restaurant",3
169736,sr_legacy_food,"Pasta, dry, enriched",20,2019-04-01,"pasta, dry, enriched",2
169737,sr_legacy_food,"Pasta, cooked, enriched, without added salt",20,2019-04-01,"pasta, cooked, enriched, without added salt",3
169738,sr_legacy_food,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",20,2019-04-01,"pasta, whole-wheat, dry (includes foods for usda's food distribution program)",2
169739,sr_legacy_food,Barley flour or meal,20,2019-04-01,barley flour or meal,0
169740,sr_legacy_food,Barley malt flour,20,2019-04-01,barley malt flour,0
169741,sr_legacy_food,"Oat flour, partially debranned",20,2019-04-01,"oat flour, partially debranned",1
169742,sr_legacy_food,"Rice noodles, dry",20,2019-04-01,"rice noodles, dry",1
169743,sr_legacy_food,"Wheat, KAMUT khorasan, uncooked",20,2019-04-01,"wheat, kamut khorasan, uncooked",2
169744,sr_legacy_food,"Wheat, KAMUT khorasan, cooked",20,2019-04-01,"wheat, kamut khorasan, cooked",2
169745,sr_legacy_food,"Spelt, uncooked",20,2019-04-01,"spelt, uncooked",1
169746,sr_legacy_food,"Spelt, cooked",20,2019-04-01,"spelt, cooked",1
169747,sr_legacy_food,"Teff, uncooked",20,2019-04-01,"teff, uncooked",1
169748,sr_legacy_food,"Corn flour, whole-grain, white",20,2019-04-01,"corn flour, whole-grain, white",2
169749,sr_legacy_food,"Corn flour, yellow, masa, enriched",20,2019-04-01,"corn flour, yellow, masa, enriched",3
169750,sr_legacy_food,"Cornmeal, whole-grain, white",20,2019-04-01,"cornmeal, whole-grain, white",2
169751,sr_legacy_food,"Pasta, cooked, enriched, with added salt",20,2019-04-01,"pasta, cooked, enriched, with added salt",3
169752,sr_legacy_food,"Hominy, canned, yellow",20,2019-04-01,"hominy, canned, yellow",2
169753,sr_legacy_food,"Rice, white, long-grain, regular, cooked, enriched, with salt",20,2019-04-01,"rice, white, long-grain, regular, cooked, enriched, with salt",6
169754,sr_legacy_food,"Wheat flour, white, all-purpose, enriched, calcium-fortified",20,2019-04-01,"wheat flour, white, all-purpose, enriched, calcium-fortified",4
169755,sr_legacy_food,"Noodles, egg, dry, unenriched",20,2019-04-01,"noodles, egg, dry, unenriched",3
169756,sr_legacy_food,"Rice, white, long-grain, regular, raw, unenriched",20,2019-04-01,"rice, white, long-grain, regular, raw, unenriched",5
169757,sr_legacy_food,"Rice, white, long-grain, regular, unenriched, cooked without salt",20,2019-04-01,"rice, white, long-grain, regular, unenriched, cooked without salt",5
169758,sr_legacy_food,"Rice, white, long-grain, parboiled, unenriched, dry",20,2019-04-01,"rice, white, long-grain, parboiled, unenriched, dry",5
169759,sr_legacy_food,"Rice, white, long-grain, parboiled, unenriched, cooked",20,2019-04-01,"rice, white, long-grain, parboiled, unenriched, cooked",5
169760,sr_legacy_food,"Rice, white, medium-grain, raw, unenriched",20,2019-04-01,"rice, white, medium-grain, raw, unenriched",4
169761,sr_legacy_food,"Wheat flour, white, all-purpose, unenriched",20,2019-04-01,"wheat flour, white, all-purpose, unenriched",3
169762,sr_legacy_food,"Noodles, egg, cooked, unenriched, with added salt",20,2019-04-01,"noodles, egg, cooked, unenriched, with added salt",4
169763,sr_legacy_food,"Potatoes, yellow fleshed, roasted, salt added in processing, frozen, unprepared",11,2019-04-01,"potatoes, yellow fleshed, roasted, salt added in processing, frozen, unprepared",5
169764,sr_legacy_food,"Potatoes, yellow fleshed, french fried, frozen, unprepared",11,2019-04-01,"potatoes, yellow fleshed, french fried, frozen, unprepared",4
169765,sr_legacy_food,"Ginger root, pickled, canned, with artificial sweetener",11,2019-04-01,"ginger root, pickled, canned, with artificial sweetener",3
169766,sr_legacy_food,"Peppers, hot pickled, canned",11,2019-04-01,"peppers, hot pickled, canned",2
169767,sr_legacy_food,"Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS",11,2019-04-01,"vegetable juice, bolthouse farms, daily greens",2
169768,sr_legacy_food,"Potatoes, mashed, ready-to-eat",11,2019-04-01,"potatoes, mashed, ready-to-eat",2
169769,sr_legacy_food,"Macaroni and cheese, box mix with cheese sauce, unprepared",22,2019-04-01,"macaroni and cheese, box mix with cheese sauce, unprepared",2
169770,sr_legacy_food,"Macaroni and cheese, box mix with cheese sauce, prepared",22,2019-04-01,"macaroni and cheese, box mix with cheese sauce, prepared",2
169771,sr_legacy_food,"Taquitos, frozen, chicken and cheese, oven-heated",22,2019-04-01,"taquitos, frozen, chicken and cheese, oven-heated",3
169772,sr_legacy_food,"Taquitos, frozen, beef and cheese, oven-heated",22,2019-04-01,"taquitos, frozen, beef and cheese, oven-heated",3
169773,sr_legacy_food,"Potsticker or wonton, pork and vegetable, frozen, unprepared",22,2019-04-01,"potsticker or wonton, pork and vegetable, frozen, unprepared",3
169774,sr_legacy_food,"Macaroni or noodles with cheese, made from reduced fat packaged mix, unprepared",22,2019-04-01,"macaroni or noodles with cheese, made from reduced fat packaged mix, unprepared",2
169775,sr_legacy_food,"Turnover, cheese-filled, tomato-based sauce, frozen, unprepared",22,2019-04-01,"turnover, cheese-filled, tomato-based sauce, frozen, unprepared",4
169776,sr_legacy_food,"Macaroni or noodles with cheese, microwaveable, unprepared",22,2019-04-01,"macaroni or noodles with cheese, microwaveable, unprepared",2
169777,sr_legacy_food,"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",22,2019-04-01,"spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",2
169778,sr_legacy_food,"Rice mix, cheese flavor, dry mix, unprepared",22,2019-04-01,"rice mix, cheese flavor, dry mix, unprepared",3
169779,sr_legacy_food,"Dumpling, potato- or cheese-filled, frozen",22,2019-04-01,"dumpling, potato- or cheese-filled, frozen",2
169780,sr_legacy_food,"Turnover, chicken- or turkey-, and vegetable-filled, reduced fat, frozen",22,2019-04-01,"turnover, chicken- or turkey-, and vegetable-filled, reduced fat, frozen",4
169781,sr_legacy_food,"Sausage, egg and cheese breakfast biscuit",22,2019-04-01,"sausage, egg and cheese breakfast biscuit",1
169782,sr_legacy_food,"HUNGRY MAN, Salisbury Steak With Gravy, frozen, unprepared",22,2019-04-01,"hungry man, salisbury steak with gravy, frozen, unprepared",3
169783,sr_legacy_food,"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",22,2019-04-01,"banquet, salisbury steak with gravy, family size, frozen, unprepared",4
169784,sr_legacy_food,"JIMMY DEAN, Sausage, Egg, and Cheese Breakfast Biscuit, frozen, unprepared",22,2019-04-01,"jimmy dean, sausage, egg, and cheese breakfast biscuit, frozen, unprepared",5
169785,sr_legacy_food,"Infant formula, GERBER, GOOD START, PROTECT PLUS, powder",3,2019-04-01,"infant formula, gerber, good start, protect plus, powder",4
169786,sr_legacy_food,"Infant Formula, GERBER GOOD START 2, GENTLE PLUS, powder",3,2019-04-01,"infant formula, gerber good start 2, gentle plus, powder",3
169787,sr_legacy_food,"Infant formula, GERBER, GOOD START 2, PROTECT PLUS, powder",3,2019-04-01,"infant formula, gerber, good start 2, protect plus, powder",4
169788,sr_legacy_food,"Infant formula, MEAD JOHNSON, ENFAMIL, ENFAGROW, Soy, Toddler transitions, with ARA and DHA,  powder",3,2019-04-01,"infant formula, mead johnson, enfamil, enfagrow, soy, toddler transitions, with ara and dha,  powder",7
169789,sr_legacy_food,"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 24 calories ready-to-feed Low iron",3,2019-04-01,"infant formula, mead johnson, enfamil, premature, 24 calories ready-to-feed low iron",4
169790,sr_legacy_food,"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, ready-to-feed",3,2019-04-01,"infant formula, mead johnson, enfamil, premium, infant, ready-to-feed",5
169791,sr_legacy_food,"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, powder",3,2019-04-01,"infant formula, mead johnson, enfamil, premium, infant, powder",5
169792,sr_legacy_food,"Babyfood, GERBER, Banana with orange medley",3,2019-04-01,"babyfood, gerber, banana with orange medley",2
169793,sr_legacy_food,"Bear, black, meat (Alaska Native)",24,2019-04-01,"bear, black, meat (alaska native)",2
169794,sr_legacy_food,"Bear, polar, meat, raw (Alaska Native)",24,2019-04-01,"bear, polar, meat, raw (alaska native)",3
169795,sr_legacy_food,"Whale, beluga, meat, dried (Alaska Native)",24,2019-04-01,"whale, beluga, meat, dried (alaska native)",3
169796,sr_legacy_food,"Whale, beluga, eyes (Alaska Native)",24,2019-04-01,"whale, beluga, eyes (alaska native)",2
169797,sr_legacy_food,"Whale, beluga, meat, raw (Alaska Native)",24,2019-04-01,"whale, beluga, meat, raw (alaska native)",3
169798,sr_legacy_food,"Fish, blackfish, whole (Alaska Native)",24,2019-04-01,"fish, blackfish, whole (alaska native)",2
169799,sr_legacy_food,"Blueberries, wild, frozen (Alaska Native)",24,2019-04-01,"blueberries, wild, frozen (alaska native)",2
169800,sr_legacy_food,"Caribou, bone marrow, raw (Alaska Native)",24,2019-04-01,"caribou, bone marrow, raw (alaska native)",2
169801,sr_legacy_food,"Caribou, eye, raw (Alaska Native)",24,2019-04-01,"caribou, eye, raw (alaska native)",2
169802,sr_legacy_food,"Cloudberries, raw (Alaska Native)",24,2019-04-01,"cloudberries, raw (alaska native)",1
169803,sr_legacy_food,"Cockles, raw (Alaska Native)",24,2019-04-01,"cockles, raw (alaska native)",1
169804,sr_legacy_food,"Cranberries, wild, bush, raw (Alaska Native)",24,2019-04-01,"cranberries, wild, bush, raw (alaska native)",3
169805,sr_legacy_food,"Cranberry, low bush or lingenberry, raw (Alaska Native)",24,2019-04-01,"cranberry, low bush or lingenberry, raw (alaska native)",2
169806,sr_legacy_food,"Fish, herring eggs, Pacific, plain (Alaska Native)",24,2019-04-01,"fish, herring eggs, pacific, plain (alaska native)",3
